                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1979,                0.92384,                 1.5664,                0.90814,                 0.8811,                0.95298,                0.61885,                 1.2425,                0.67968,                 1.7827,             0.00016972,             0.00016972,             0.00016972
                     79,                  1.216,                0.88783,                 1.5535,                0.88854,                0.90596,                0.96166,                  0.628,                 1.2034,                0.67292,                 1.7461,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.1874,                0.87324,                 1.5274,                0.91854,                0.89819,                0.95888,                0.64243,                 1.2039,                0.65999,                 1.7385,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.1356,                 0.8431,                 1.5092,                0.94281,                0.87357,                0.95674,                0.63633,                 1.1976,                0.65599,                 1.7301,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.1478,                0.85756,                 1.5172,                0.89925,                0.89679,                0.95379,                0.63704,                 1.1686,                0.68358,                 1.7233,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.1401,                0.86957,                 1.5305,                0.85749,                0.92436,                0.94526,                0.63257,                 1.1924,                0.68824,                  1.737,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.1415,                0.84143,                 1.5066,                0.88078,                0.90799,                0.94486,                0.62877,                  1.212,                0.67955,                 1.7547,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.1632,                0.85458,                 1.5075,                0.91679,                0.88084,                0.94902,                0.63646,                 1.1937,                 0.6739,                 1.7466,             0.00012024,             0.00012024,             0.00012024
                     86,                  1.148,                0.83007,                 1.4953,                0.91357,                0.86312,                0.94498,                 0.6331,                 1.2127,                0.69084,                 1.7634,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.1409,                  0.816,                 1.5149,                0.88825,                0.92722,                0.96384,                0.64949,                 1.1668,                0.62843,                 1.7081,              0.0001061,              0.0001061,              0.0001061
